id;Nom;Description;Position;Affichée
3;Women;"You will find here all woman fashion collections.This category includes all the basics of your wardrobe and much more:shoes, accessories, printed t-shirts, feminine dresses, women's jeans!";0;1
12;Femme;;1;1
13;Homme;;2;1
14;Enfant;;3;1
15;Maison;;4;1
16;Librairie/Papeterie;;5;1
17;Alimentation;;6;1
18;"Téléphone/Objet connecté";;7;1
19;Art;;8;1
